PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs,HZ
HD 46588 A_2,HD 46588 A,0.149,0.051,1.651,6.607,18.202,1.18,1.826,0.008,139.746,0.156,0.578,0,0,1,2035.048,False
HD 46588 A_4,HD 46588 A,0.634,0.042,1.252,2.732,18.202,1.18,1.826,0.033,150.686,0.619,0.47,0,0,1,2035.048,False
HD 46588 A_5,HD 46588 A,0.119,0.052,0.593,0.199,18.202,1.18,1.826,0.006,350.22,0.114,0.312,0,0,1,2035.048,False
HD 46588 A_6,HD 46588 A,0.647,0.045,2.121,10.554,18.202,1.18,1.826,0.033,284.841,0.676,0.593,0,0,1,2035.048,False
HD 46588 A_7,HD 46588 A,1.085,0.088,1.256,3.348,18.202,1.18,1.826,0.04,139.779,1.004,0.745,0,0,1,2035.048,False
HD 46588 A_8,HD 46588 A,2.008,0.017,0.521,0.058,18.202,1.18,1.826,0.075,275.402,2.033,0.04,0,0,1,2035.048,True
HD 17051_0,HD 17051,1.593,0.055,0.8,0.347,17.357,1.14,1.737,0.092,53.51,1.662,0.458,0,0,1,2035.049,True
HD 17051_1,HD 17051,2.146,0.107,1.035,1.601,17.357,1.14,1.737,0.132,50.194,2.283,0.307,0,0,1,2035.049,False
HD 17051_2,HD 17051,4.311,0.108,1.302,1.937,17.357,1.14,1.737,0.232,20.219,4.365,0.533,0,0,1,2035.049,False
HD 165499_0,HD 165499,3.777,0.071,0.637,0.343,17.753,1.08,1.731,0.189,251.931,3.559,0.169,0,0,1,2035.051,False
HD 165499_1,HD 165499,0.192,0.04,0.654,0.282,17.753,1.08,1.731,0.006,174.026,0.186,0.834,0,0,1,2035.051,False
HD 165499_3,HD 165499,0.221,0.065,0.75,0.344,17.753,1.08,1.731,0.006,40.781,0.228,0.895,0,0,1,2035.051,False
HD 165499_4,HD 165499,1.569,0.062,3.377,30.496,17.753,1.08,1.731,0.031,6.35,1.473,0.006,0,0,1,2035.051,True
HD 10700_0,HD 10700,1.625,0.099,0.563,0.132,3.652,0.94,0.506,0.441,328.667,1.682,0.473,0,0,1,2035.052,False
HD 86728 A_0,HD 86728 A,0.138,0.113,0.53,0.096,14.926,1.0,1.378,0.008,171.787,0.132,0.192,0,0,1,2035.053,False
HD 86728 A_1,HD 86728 A,1.194,0.049,0.519,0.097,14.926,1.0,1.378,0.053,132.341,1.246,0.033,0,0,1,2035.053,True
HD 86728 A_2,HD 86728 A,1.586,0.024,0.736,0.333,14.926,1.0,1.378,0.086,257.204,1.576,0.084,0,0,1,2035.053,True
HD 86728 A_3,HD 86728 A,0.34,0.077,0.971,1.049,14.926,1.0,1.378,0.021,185.703,0.355,0.128,0,0,1,2035.053,False
HD 86728 A_4,HD 86728 A,3.143,0.15,2.985,25.307,14.926,1.0,1.378,0.101,280.881,2.683,0.85,1,1,1,2035.053,False
HD 86728 A_5,HD 86728 A,0.238,0.132,1.155,1.588,14.926,1.0,1.378,0.014,269.127,0.207,0.341,0,0,1,2035.053,False
HD 86728 A_6,HD 86728 A,2.84,0.137,2.462,4.922,14.926,1.0,1.378,0.096,221.472,2.625,0.856,1,1,1,2035.053,False
HD 20794_0,HD 20794,4.322,0.17,2.962,5.482,6.041,0.97,0.654,0.414,213.96,4.561,0.02,0,0,1,2035.055,False
HD 20794_1,HD 20794,2.398,0.095,1.302,1.627,6.041,0.97,0.654,0.215,24.516,2.257,0.024,0,0,1,2035.055,False
HD 115617_0,HD 115617,1.956,0.004,0.732,0.391,8.534,0.97,0.825,0.228,155.045,1.962,0.261,0,0,1,2035.056,False
HD 115617_1,HD 115617,0.76,0.09,2.931,3.775,8.534,0.97,0.825,0.061,253.401,0.747,0.76,1,1,1,2035.056,True
HD 115617_2,HD 115617,0.621,0.047,0.562,0.132,8.534,0.97,0.825,0.071,295.237,0.636,0.173,0,0,1,2035.056,False
HD 115617_3,HD 115617,0.199,0.073,3.38,20.4,8.534,0.97,0.825,0.017,123.382,0.186,0.068,0,0,1,2035.056,False
HD 115617_4,HD 115617,2.599,0.104,0.763,0.211,8.534,0.97,0.825,0.292,247.46,2.784,0.575,0,0,1,2035.056,False
HD 115617_5,HD 115617,2.098,0.045,1.487,5.131,8.534,0.97,0.825,0.175,62.166,2.021,0.729,0,0,1,2035.056,False
HD 115617_6,HD 115617,3.003,0.084,0.942,0.716,8.534,0.97,0.825,0.167,186.684,3.068,0.012,0,0,1,2035.056,False
HD 53705_0,HD 53705,0.273,0.081,1.735,7.702,17.059,1.04,1.49,0.012,193.907,0.262,0.715,0,0,1,2035.058,False
HD 53705_1,HD 53705,2.604,0.083,3.306,29.747,17.059,1.04,1.49,0.134,226.877,2.515,0.137,1,1,1,2035.058,False
