PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 20794_1,HD 20794,0.97,0.654,2.398,1.627,1.302,0.095,2,3.77,False
HD 20807_1,HD 20807,1.07,1.017,1.546,0.889,0.954,0.069,5,1.858,True
HD 209100_11,HD 209100,0.72,0.222,0.917,1.243,1.174,0.107,7,1.035,False
HD 209100_2,HD 209100,0.72,0.222,0.989,6.418,1.925,0.073,4,1.159,False
HD 209100_4,HD 209100,0.72,0.222,3.542,11.231,2.632,0.022,8,7.856,False
HD 209100_5,HD 209100,0.72,0.222,0.635,0.561,0.931,0.076,7,0.596,True
HD 209100_6,HD 209100,0.72,0.222,1.701,0.458,0.885,0.082,3,2.615,False
HD 209100_8,HD 209100,0.72,0.222,2.097,5.392,2.488,0.099,7,3.579,False
HD 209100_9,HD 209100,0.72,0.222,0.782,7.389,2.297,0.071,8,0.815,False
HD 210302_4,HD 210302,1.25,2.918,1.629,3.133,1.727,0.122,2,1.86,True
HD 212330 A_0,HD 212330 A,1.02,2.726,1.747,22.163,3.281,0.031,5,2.286,True
HD 216803_1,HD 216803,0.72,0.196,3.539,4.943,2.035,0.087,6,7.846,False
HD 216803_4,HD 216803,0.72,0.196,2.738,20.064,2.631,0.038,7,5.339,False
HD 216803_6,HD 216803,0.72,0.196,0.431,2.884,1.431,0.071,2,0.333,True
HD 219134_0,HD 219134,0.75,0.266,1.298,3.577,3.021,0.068,8,1.708,False
HD 219134_2,HD 219134,0.75,0.266,0.475,1.562,1.279,0.085,5,0.378,True
HD 219134_5,HD 219134,0.75,0.266,1.823,1.858,1.09,0.052,3,2.842,False
HD 219134_7,HD 219134,0.75,0.266,0.986,3.252,2.277,0.056,8,1.131,False
HD 22484_1,HD 22484,1.14,3.068,1.12,10.252,1.996,0.109,3,1.11,False
HD 23249_1,HD 23249,0.87,2.941,2.348,8.264,1.487,0.031,1,3.857,True
HD 26965 A_1,HD 26965 A,0.86,0.41,0.482,6.418,1.38,0.058,7,0.361,False
HD 26965 A_2,HD 26965 A,0.86,0.41,0.345,0.068,0.5,0.049,6,0.219,False
HD 30652_2,HD 30652,1.25,2.71,1.418,2.688,1.563,0.081,4,1.51,True
HD 30652_3,HD 30652,1.25,2.71,3.27,4.102,2.129,0.133,2,5.289,False
HD 30652_4,HD 30652,1.25,2.71,2.754,10.423,2.49,0.119,3,4.088,False
HD 32147_2,HD 32147,0.75,0.29,3.272,4.24,1.942,0.062,8,6.834,False
HD 33262 A_4,HD 33262 A,1.14,1.466,1.015,4.512,2.255,0.091,4,0.958,True
HD 33262 A_6,HD 33262 A,1.14,1.466,0.874,0.237,0.646,0.139,3,0.765,False
HD 34411_1,HD 34411,1.08,1.732,1.539,0.594,0.897,0.078,3,1.837,True
HD 3651 A_0,HD 3651 A,0.86,0.532,0.818,1.01,1.086,0.09,5,0.798,True
HD 37394_11,HD 37394,0.88,0.478,1.171,3.446,2.415,0.065,8,1.351,False
HD 37394_16,HD 37394,0.88,0.478,2.623,11.231,2.621,0.055,2,4.529,False
HD 37394_3,HD 37394,0.88,0.478,1.245,1.233,1.502,0.044,4,1.481,False
HD 37394_9,HD 37394,0.88,0.478,0.863,0.225,0.726,0.077,3,0.855,True
HD 4614 A_1,HD 4614 A,1.14,1.252,0.651,0.414,0.728,0.133,4,0.492,False
HD 4614 A_2,HD 4614 A,1.14,1.252,2.584,5.26,1.361,0.017,2,3.89,False
HD 4628_6,HD 4628,0.78,0.3,1.476,3.279,1.942,0.055,6,2.03,False
