PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.086,97.557,0.873,0.239,1,3,4,2035.599
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.124,118.752,2.413,0.351,1,1,2,2035.605
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.093,191.346,1.468,0.064,0,2,3,2035.608
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.066,12.101,0.87,0.097,1,2,4,2035.627
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.047,17.105,1.752,0.877,0,1,2,2035.649
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.089,194.21,0.859,0.247,1,2,4,2035.663
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.056,49.436,0.515,0.751,0,3,6,2035.666
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.047,308.56,0.662,0.056,0,0,5,2035.693
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.048,261.741,0.608,0.651,0,0,5,2035.693
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.109,74.898,1.75,0.249,0,0,2,2035.704
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.166,45.49,0.641,0.506,1,7,7,2035.712
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.025,17.987,1.219,0.947,0,1,3,2035.712
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.063,268.367,1.052,0.208,1,2,3,2035.712
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.058,114.764,0.777,0.819,0,4,6,2035.729
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.271,338.566,2.462,0.34,0,1,2,2035.745
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.804,187.619,1.087,0.407,1,5,5,2035.77
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.062,187.563,0.753,0.647,1,4,5,2035.798
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.063,156.204,0.452,0.144,1,4,7,2035.798
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.18,10.356,1.679,0.99,1,1,3,2035.806
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.636,112.808,1.252,0.041,0,2,3,2035.806
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.073,264.93,1.364,0.226,1,3,3,2035.822
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.149,110.468,0.591,0.147,1,8,8,2035.831
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.06,129.162,0.761,0.119,0,2,5,2035.836
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.058,114.995,0.742,0.084,0,0,6,2035.866
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.051,50.693,0.541,0.452,0,0,6,2035.866
