PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.895,21.327,1.284,0.525,1,2,2,2035.403
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.075,172.269,1.43,0.483,1,2,2,2035.412
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.072,313.797,0.874,0.551,1,1,3,2035.42
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.088,334.053,0.758,0.185,1,3,4,2035.439
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.009,75.877,0.854,0.996,0,1,3,2035.442
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.106,241.859,1.983,0.206,1,2,2,2035.451
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.08,9.874,1.421,0.759,1,2,2,2035.451
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.179,270.381,0.665,0.421,1,5,5,2035.478
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.04,288.673,0.74,0.848,0,0,4,2035.522
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.025,151.126,0.521,0.014,0,0,4,2035.522
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.067,295.406,0.455,0.205,1,3,5,2035.533
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.789,137.817,1.143,0.147,1,4,4,2035.574
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.108,23.056,1.586,0.435,1,2,2,2035.58
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.073,14.379,0.777,0.706,1,4,5,2035.586
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.086,96.637,0.875,0.234,1,3,4,2035.597
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.152,334.493,0.681,0.667,1,6,6,2035.597
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.093,191.368,1.467,0.064,0,2,3,2035.608
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.123,118.871,2.412,0.354,1,1,2,2035.608
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.065,13.227,0.868,0.093,1,2,4,2035.63
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.048,17.741,1.754,0.874,0,1,2,2035.652
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.089,194.224,0.859,0.246,1,2,4,2035.663
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.056,49.894,0.515,0.751,0,3,6,2035.666
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.046,309.113,0.662,0.05,0,0,5,2035.696
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.048,263.289,0.608,0.668,0,0,5,2035.696
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.109,74.969,1.75,0.25,1,2,2,2035.705
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.025,18.388,1.219,0.947,0,1,3,2035.713
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.063,268.546,1.052,0.209,1,2,3,2035.713
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.167,47.338,0.64,0.495,1,7,7,2035.716
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.059,116.815,0.776,0.811,0,4,6,2035.732
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.271,338.605,2.462,0.34,0,1,2,2035.746
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.807,186.371,1.088,0.399,1,5,5,2035.765
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.062,186.236,0.754,0.646,1,4,5,2035.795
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.063,156.88,0.452,0.141,1,4,7,2035.798
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.177,10.659,1.679,0.99,1,1,3,2035.807
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.635,113.124,1.251,0.041,0,2,3,2035.807
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.073,265.12,1.365,0.226,1,3,3,2035.823
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.148,112.89,0.59,0.14,1,8,8,2035.834
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.061,130.755,0.76,0.126,0,2,5,2035.84
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.06,115.388,0.744,0.092,0,0,6,2035.87
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.051,52.295,0.539,0.426,0,0,6,2035.87
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.092,166.425,0.756,0.293,1,5,7,2035.879
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.018,346.764,0.927,0.001,0,2,5,2035.884
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.116,299.865,2.128,0.257,1,3,3,2035.898
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.107,73.877,1.564,0.107,0,2,3,2035.901
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.075,295.375,1.446,0.031,0,2,4,2035.912
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.072,309.917,0.468,0.316,1,5,8,2035.931
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.664,247.253,1.075,0.656,1,6,6,2035.956
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.082,293.338,0.82,0.309,1,5,6,2035.994
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.05,228.038,0.742,0.021,0,5,8,2036.025
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.056,128.907,0.808,0.745,0,0,7,2036.044
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.044,216.581,0.554,0.09,0,0,7,2036.044
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.049,223.368,0.786,0.762,0,2,6,2036.05
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.077,83.021,1.306,0.175,1,2,4,2036.069
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.055,44.693,0.95,0.517,0,2,4,2036.069
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.096,13.736,0.918,0.345,1,3,6,2036.105
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.768,316.166,1.119,0.547,1,7,7,2036.149
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.122,137.479,1.766,0.406,1,3,3,2036.16
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.076,11.425,0.928,0.089,1,6,7,2036.193
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,1.068,170.848,1.628,0.6,0,1,4,2036.209
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.939,226.693,1.257,0.371,1,3,4,2036.209
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.055,166.533,2.404,0.906,0,1,3,2036.212
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.127,341.432,1.53,0.313,1,3,5,2036.215
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.04,288.58,0.74,0.849,0,0,8,2036.218
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.03,309.886,0.603,0.874,0,0,8,2036.218
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.076,2.698,1.45,0.197,1,4,4,2036.234
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.078,325.694,0.885,0.438,1,3,7,2036.259
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.09,63.027,1.92,0.119,1,2,3,2036.3
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.012,154.753,0.849,0.991,0,3,7,2036.325
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.877,2.05,1.175,0.269,1,8,8,2036.339
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.115,352.389,2.106,0.365,1,4,4,2036.347
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.087,182.572,1.659,0.037,0,2,4,2036.35
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.086,90.284,0.886,0.205,1,7,8,2036.391
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.098,170.747,1.918,0.668,1,3,3,2036.405
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.03,202.642,1.413,0.005,0,2,5,2036.424
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062,180.194,1.05,0.187,1,3,5,2036.424
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.057,30.862,0.85,0.058,0,3,8,2036.468
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.193,32.104,2.372,0.058,0,1,3,2036.49
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.095,17.727,1.626,0.758,1,4,6,2036.518
