PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.132747,177.807011,0.593653,0.083053,1,4,4,2035.914681
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.068736,298.91842,0.458093,0.228678,1,4,5,2035.915863
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.073505,190.338915,0.745366,0.080908,1,4,5,2035.959759
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.087625,308.263605,1.454811,0.053,0,2,3,2035.964821
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.117323,315.01735,2.140538,0.284795,1,2,2,2036.027285
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.061104,127.488757,0.807513,0.692255,1,1,7,2036.03087
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.039006,208.112891,0.545524,0.057431,0,0,7,2036.03087
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.082716,315.285279,0.861523,0.196758,1,4,4,2036.053317
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.06564,91.500625,0.505937,0.628338,1,5,6,2036.086267
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.118319,125.865935,1.733524,0.438835,1,2,2,2036.089841
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.101635,52.922376,1.919885,0.308036,1,2,2,2036.093979
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.108414,125.829308,1.8982,0.55616,1,2,2,2036.108337
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.072094,86.521615,1.323883,0.11788,1,2,3,2036.109434
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.055613,62.692609,0.952435,0.500255,0,1,3,2036.109434
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.093189,14.489414,0.911486,0.426775,1,3,4,2036.127093
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.749434,310.888041,1.113305,0.571418,1,4,4,2036.130878
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.071958,316.810213,0.749843,0.07246,1,5,6,2036.142164
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.066666,305.186895,0.863689,0.618811,1,3,5,2036.19257
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.165022,42.925684,0.64385,0.51999,1,5,5,2036.303594
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,1.17931,171.905398,1.587175,0.393122,0,1,3,2036.323273
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.841275,248.969818,1.267758,0.587633,1,3,3,2036.323273
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.214802,18.40836,2.392793,0.084088,0,1,2,2036.351603
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.057012,305.182442,0.664443,0.123366,0,1,8,2036.364325
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.049539,65.355184,0.522813,0.228998,0,0,8,2036.364325
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.118133,358.628531,1.588797,0.573387,1,3,4,2036.382163
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.112404,7.968966,2.06901,0.396248,1,3,3,2036.473749
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.785766,44.185646,1.19737,0.113796,1,5,5,2036.51423
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.066336,149.542375,0.457106,0.177085,1,6,7,2036.545713
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.081487,144.88607,0.768308,0.60511,1,6,7,2036.553337
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.064144,176.120903,0.758912,0.628431,1,5,5,2036.592551
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.070938,197.513937,0.882108,0.066639,1,4,5,2036.598681
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.125402,230.767276,1.5755,0.310294,1,3,3,2036.712147
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.079787,95.897237,1.505482,0.451226,1,3,3,2036.715868
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.154563,324.742121,0.682908,0.65483,1,6,6,2036.773328
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.080533,260.422079,1.325275,0.41633,1,3,4,2036.820316
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.061828,318.219387,1.002142,0.352617,1,2,4,2036.820316
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.051214,213.845728,0.778453,0.73717,0,3,6,2036.832836
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.061822,159.533568,0.450216,0.129886,1,7,8,2036.935295
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.120089,269.498371,1.817881,0.169787,1,3,3,2037.041326
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.131019,154.908798,0.588122,0.081779,1,7,7,2037.080048
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.078306,45.025535,0.931584,0.097135,1,6,6,2037.08384
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.124219,149.811153,1.587867,0.504532,1,4,5,2037.107724
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.104089,277.313205,1.670229,0.253442,1,3,3,2037.120785
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.134974,291.561608,2.723938,0.459038,1,2,3,2037.123115
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.061583,29.06518,0.779215,0.797114,1,7,8,2037.128893
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.009551,65.60291,0.854277,0.994383,0,4,6,2037.167529
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.082889,232.891196,1.565722,0.327913,1,3,3,2037.189328
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.075181,215.142981,1.382301,0.371906,1,4,4,2037.260789
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.665575,275.446446,1.086521,0.662223,1,6,6,2037.274294
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.071195,70.0566,1.243709,0.530409,1,4,5,2037.342156
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.06249,164.744187,1.036697,0.214765,1,3,5,2037.342156
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.150306,348.244851,0.677787,0.671131,1,8,8,2037.405946
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.068309,248.209191,0.759849,0.563443,1,7,7,2037.518964
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.099074,178.285771,1.815177,0.263374,1,4,4,2037.565418
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.1189,53.842752,1.496854,0.286154,1,4,4,2037.573015
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.057332,193.226608,0.761337,0.641415,0,3,7,2037.593649
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.079884,10.051546,0.934977,0.085056,1,5,7,2037.732268
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.645867,167.997835,1.670485,0.873506,1,2,4,2037.898608
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.63841,321.790134,1.284196,0.787501,1,4,4,2037.898608
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.242552,177.462646,2.324145,0.492724,1,2,3,2037.958
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.078698,17.803032,1.468753,0.224814,1,5,5,2037.964613
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.770136,128.847391,1.152582,0.124044,1,7,7,2038.034358
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.071286,189.972582,0.840749,0.666143,1,6,8,2038.157281
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.062683,184.733081,0.754494,0.643798,1,8,8,2038.23217
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.112301,111.606979,1.868689,0.479927,1,4,4,2038.24556
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.115624,0.755392,1.594538,0.600865,1,5,6,2038.259313
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.072313,265.538314,1.298149,0.565855,1,5,6,2038.316051
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062414,168.884581,1.040505,0.206316,1,4,6,2038.316051
