PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 4391_3,HD 4391,0.102,0.064,0.942,1.344,15.049,0.98,0.923,0.007,106.411,0.104,0.214,0,0,1,2035.0
HD 4391_4,HD 4391,0.526,0.038,2.712,11.881,15.049,0.98,0.923,0.031,163.782,0.546,0.626,0,0,1,2035.0
HD 95735_0,HD 95735,0.673,0.041,0.901,1.876,2.546,0.44,0.02,0.178,62.907,0.661,0.772,1,1,1,2035.0
HD 95735_2,HD 95735,0.392,0.078,0.638,0.252,2.546,0.44,0.02,0.064,71.201,0.39,0.008,0,0,1,2035.0
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.053,323.845,0.143,0.488,0,0,1,2035.0
HD 95735_4,HD 95735,2.481,0.023,1.454,2.402,2.546,0.44,0.02,0.615,313.635,2.513,0.813,1,1,1,2035.0
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.02,229.913,0.169,0.003,0,0,1,2035.0
HD 201092_1,HD 201092,2.708,0.059,2.37,8.514,3.496,0.63,0.078,0.719,344.457,2.6,0.456,1,1,1,2035.0
HD 217987_0,HD 217987,3.278,0.032,3.1,17.272,3.287,0.49,0.036,0.956,160.943,3.256,0.199,1,1,1,2035.0
HD 217987_1,HD 217987,0.104,0.158,2.049,6.333,3.287,0.49,0.036,0.027,304.165,0.113,0.685,0,0,1,2035.0
HD 165341 B_1,HD 165341 B,1.256,0.089,0.5,0.053,5.122,0.78,0.164,0.209,357.014,1.177,0.137,0,0,1,2035.0
HD 165341 B_2,HD 165341 B,4.082,0.042,1.247,0.85,5.122,0.78,0.164,0.456,34.886,4.202,0.021,0,0,1,2035.0
HD 165341 B_3,HD 165341 B,0.1,0.077,0.528,0.124,5.122,0.78,0.164,0.02,227.488,0.105,0.213,0,0,1,2035.0
