PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 4391_0,HD 4391,0.363,0.182,1.471,2.308,15.049,0.98,0.923,0.016,103.605,0.363,0.039,0,0,1,2035.018
HD 4391_1,HD 4391,1.544,0.114,0.614,0.21,15.049,0.98,0.923,0.05,44.304,1.627,0.898,0,0,1,2035.018
HD 4391_2,HD 4391,0.361,0.058,0.863,1.273,15.049,0.98,0.923,0.016,299.785,0.342,0.051,0,0,1,2035.018
HD 4391_3,HD 4391,0.102,0.064,0.942,1.195,15.049,0.98,0.923,0.006,284.814,0.1,0.461,0,0,1,2035.018
HD 4391_4,HD 4391,0.526,0.038,2.712,4.443,15.049,0.98,0.923,0.026,172.653,0.546,0.758,0,0,1,2035.018
HD 95735_0,HD 95735,0.673,0.041,0.901,0.817,2.546,0.44,0.02,0.201,68.506,0.664,0.703,1,1,1,2035.019
HD 95735_2,HD 95735,0.392,0.078,0.638,0.071,2.546,0.44,0.02,0.105,80.631,0.4,0.039,0,0,1,2035.019
HD 95735_3,HD 95735,0.164,0.146,0.847,0.43,2.546,0.44,0.02,0.055,59.549,0.149,0.498,0,0,1,2035.019
HD 95735_4,HD 95735,2.481,0.023,1.454,2.418,2.546,0.44,0.02,0.63,314.004,2.512,0.803,1,1,1,2035.019
HD 95735_6,HD 95735,0.163,0.047,1.008,0.827,2.546,0.44,0.02,0.061,286.124,0.161,0.203,1,1,1,2035.019
HD 201092_1,HD 201092,2.708,0.059,2.37,6.91,3.496,0.63,0.078,0.721,345.578,2.598,0.447,0,0,1,2035.021
HD 217987_0,HD 217987,3.278,0.032,3.1,11.412,3.287,0.49,0.036,0.956,161.896,3.257,0.198,1,1,1,2035.022
HD 217987_1,HD 217987,0.104,0.158,2.049,5.502,3.287,0.49,0.036,0.025,58.282,0.105,0.076,0,0,1,2035.022
HD 165341 B_1,HD 165341 B,1.256,0.089,0.5,0.038,5.122,0.78,0.164,0.204,2.274,1.185,0.118,0,0,1,2035.023
HD 165341 B_2,HD 165341 B,4.082,0.042,1.247,2.163,5.122,0.78,0.164,0.461,36.158,4.204,0.022,0,0,1,2035.023
HD 165341 B_3,HD 165341 B,0.1,0.077,0.528,0.115,5.122,0.78,0.164,0.007,99.027,0.102,0.937,0,0,1,2035.023
HD 165341 B_4,HD 165341 B,0.76,0.117,1.137,8.764,5.122,0.78,0.164,0.108,114.436,0.845,0.037,0,0,1,2035.023
HD 20766_0,HD 20766,1.336,0.161,1.674,1.89,12.045,1.01,0.794,0.1,90.932,1.405,0.103,0,0,1,2035.025
HD 20766_1,HD 20766,0.327,0.097,2.659,6.024,12.045,1.01,0.794,0.008,143.836,0.359,0.962,0,0,1,2035.025
HD 20766_4,HD 20766,1.915,0.031,0.912,0.437,12.045,1.01,0.794,0.066,305.759,1.885,0.915,1,1,1,2035.025
HD 4628_0,HD 4628,0.299,0.054,1.741,4.518,7.435,0.78,0.3,0.042,90.375,0.312,0.293,0,0,1,2035.026
HD 4628_1,HD 4628,4.258,0.031,1.273,2.24,7.435,0.78,0.3,0.338,30.411,4.251,0.026,0,0,1,2035.026
HD 4628_4,HD 4628,4.069,0.034,0.981,0.218,7.435,0.78,0.3,0.565,262.407,4.207,0.287,0,0,1,2035.026
HD 4628_5,HD 4628,3.681,0.025,0.897,0.438,7.435,0.78,0.3,0.482,113.901,3.598,0.365,0,0,1,2035.026
HD 4628_6,HD 4628,1.476,0.055,1.942,6.196,7.435,0.78,0.3,0.156,95.755,1.404,0.09,0,0,1,2035.026
HD 10360_0,HD 10360,0.111,0.132,2.009,3.749,8.189,0.78,0.345,0.013,27.94,0.113,0.156,0,0,1,2035.027
HD 10360_1,HD 10360,0.559,0.036,0.525,0.088,8.189,0.78,0.345,0.057,98.991,0.552,0.63,0,0,1,2035.027
HD 10360_2,HD 10360,3.873,0.13,2.182,10.62,8.189,0.78,0.345,0.403,39.103,3.38,0.219,0,0,1,2035.027
HD 10360_4,HD 10360,0.185,0.028,3.239,10.499,8.189,0.78,0.345,0.019,283.632,0.181,0.603,0,0,1,2035.027
HD 10360_5,HD 10360,2.33,0.067,0.679,0.279,8.189,0.78,0.345,0.298,300.92,2.485,0.414,0,0,1,2035.027
HD 131977_0,HD 131977,2.114,0.033,1.305,2.487,5.886,0.72,0.223,0.29,13.585,2.093,0.663,1,1,1,2035.029
HD 72905_1,HD 72905,0.661,0.069,0.5,0.04,14.439,1.08,0.973,0.039,252.306,0.62,0.146,0,0,1,2035.03
HD 72905_3,HD 72905,0.899,0.099,2.776,14.209,14.439,1.08,0.973,0.038,56.219,0.85,0.795,0,0,1,2035.03
HD 72905_4,HD 72905,0.923,0.214,1.407,1.358,14.439,1.08,0.973,0.023,73.491,0.765,0.91,0,0,1,2035.03
HD 72905_5,HD 72905,3.175,0.086,0.525,0.039,14.439,1.08,0.973,0.131,107.772,2.961,0.034,0,0,1,2035.03
HD 219134_0,HD 219134,1.298,0.068,3.021,8.443,6.542,0.75,0.266,0.129,340.408,1.235,0.043,0,0,1,2035.032
HD 219134_1,HD 219134,0.107,0.06,0.589,0.116,6.542,0.75,0.266,0.017,225.347,0.113,0.254,0,0,1,2035.032
HD 219134_2,HD 219134,0.475,0.085,1.279,3.455,6.542,0.75,0.266,0.067,147.791,0.458,0.187,1,1,1,2035.032
HD 219134_3,HD 219134,2.999,0.067,1.913,5.997,6.542,0.75,0.266,0.419,165.243,2.865,0.185,0,0,1,2035.032
HD 219134_4,HD 219134,0.285,0.083,1.716,7.189,6.542,0.75,0.266,0.044,88.887,0.285,0.328,0,0,1,2035.032
HD 219134_5,HD 219134,1.823,0.052,1.09,2.985,6.542,0.75,0.266,0.198,32.203,1.891,0.773,1,1,1,2035.032
HD 219134_7,HD 219134,0.986,0.056,2.277,12.655,6.542,0.75,0.266,0.143,91.459,1.031,0.135,1,1,1,2035.032
HD 149661_2,HD 149661,2.991,0.073,1.285,2.457,9.894,0.87,0.462,0.308,275.498,3.149,0.457,0,0,1,2035.033
HD 149661_3,HD 149661,2.364,0.065,0.7,0.667,9.894,0.87,0.462,0.191,70.49,2.359,0.079,0,0,1,2035.033
HD 149661_5,HD 149661,3.155,0.051,2.936,9.958,9.894,0.87,0.462,0.268,27.881,2.997,0.586,1,1,1,2035.033
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.913,11.108,0.86,0.532,0.06,127.399,0.763,0.112,0,0,1,2035.034
