StarName,NObs,LastObs
HD 4391,1,2035.0890410958891
HD 10780,1,2035.0904109589028
HD 140538 A,1,2035.0917808219165
HD 165341 A,1,2035.0931506849302
HD 166,1,2035.0945205479438
HD 26965 A,1,2035.0958904109575
HD 185144,1,2035.0972602739712
HD 209100,1,2035.0986301369849
HD 201091,1,2035.0999999999985
HD 155885,1,2035.1013698630122
HD 155886,1,2035.102739726026
HD 10476,1,2035.1041095890396
HD 201092,1,2035.1054794520533
HD 165341 B,1,2035.106849315067
HD 131977,1,2035.1082191780806
HD 219134,1,2035.1095890410943
HD 88230,1,2035.110958904108
HD 4628,1,2035.1123287671217
HD 192310,1,2035.1136986301353
HD 10360,1,2035.115068493149
HD 156026,1,2035.1164383561627
HD 149661,1,2035.1178082191764
HD 10361,1,2035.11917808219
HD 3651 A,1,2035.1205479452037
HD 100623 A,1,2035.1219178082174
HD 216803,1,2035.123287671231
HD 32147,1,2035.1246575342448
HD 17925,1,2035.1260273972584
HD 38392,1,2035.1273972602721
HD 37394,1,2035.1287671232858
HD 95735,1,2035.1301369862995
HD 217987,1,2035.1315068493132
HD 202560,1,2035.1328767123268
HD 95735,2,2035.1794875814567
HD 201091,2,2035.186775437025
HD 165341 B,2,2035.1970747459138
HD 95735,3,2035.2260984505865
HD 10700,2,2035.2471331483955
HD 202560,2,2035.2580488729602
HD 38392,2,2035.259418735974
HD 32147,2,2035.2656174508857
HD 156274 A,2,2035.2669873138993
HD 10360,2,2035.2725679152434
HD 201091,3,2035.273937778257
HD 156026,2,2035.2853907280107
HD 20794,2,2035.2869726582035
HD 165341 B,3,2035.2883425212171
HD 10476,2,2035.2897123842308
HD 216803,2,2035.2936224457285
HD 101501,2,2035.3030883388558
HD 82885 A,2,2035.3447673815938
HD 155886,2,2035.3641526434394
HD 209100,2,2035.3696622943846
HD 140538 A,2,2035.3710321573983
HD 72905,2,2035.3773994815172
HD 4391,2,2035.3828319204233
HD 38392,3,2035.391338163047
HD 26965 A,2,2035.397898303382
HD 146233,2,2035.4010316596114
HD 131156 A,2,2035.403469553971
HD 32147,3,2035.4065773675266
HD 192310,2,2035.4193977626012
HD 185144,2,2035.4207676256149
HD 10360,3,2035.4300673373377
HD 33262 A,2,2035.4314372003514
HD 10700,3,2035.4381019132302
HD 10780,2,2035.4446961142912
HD 156274 A,3,2035.4462871989833
HD 216803,3,2035.447657061997
HD 90839,2,2035.4490269250107
HD 165341 A,2,2035.4503967880244
HD 10361,2,2035.465923913005
HD 10476,3,2035.47478484653
HD 37394,2,2035.4767683595724
HD 35296,2,2035.478703899943
HD 4813,2,2035.4800737629566
HD 17051,2,2035.491021158056
HD 17925,2,2035.499195749243
HD 3651 A,2,2035.501905404358
HD 165499,2,2035.5032752673717
HD 20630,2,2035.5148381099912
HD 20794,3,2035.5162079730048
HD 84117,2,2035.5175778360185
HD 38392,4,2035.5232575901202
HD 165341 B,4,2035.531992609596
HD 38393,2,2035.5369994663877
HD 128621,2,2035.5491158586728
HD 155886,3,2035.5639217252374
HD 69897,2,2035.565291588251
HD 20766,2,2035.5666614512647
HD 109358,2,2035.5890564560098
HD 17206,2,2035.5904263190234
HD 102365,2,2035.5924573771676
HD 136352,2,2035.5958826391768
HD 82885 A,3,2035.6100827083942
HD 65907 A,2,2035.6218466370833
HD 187691 A,2,2035.6252010471337
