PlanetID,sma,ecc,StarName,Mp_MEarth,M_sol,FinalPosteriorEpoch,NDetectedEpochs
HD 142860_5,0.9193196551640463,0.11462262800835094,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9191551674454399,0.13080857465317622,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200672546623864,0.10716803499140813,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203009610678887,0.1200176020329889,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204143633891572,0.16265493223147168,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9231651099896472,0.218077128563324,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197065655194673,0.10617208863340351,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9206082057453356,0.16255726202519882,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9227383331793022,0.1781601678673909,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9218067094101724,0.14531652154479988,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210380664727867,0.11761054389870289,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9197788415277527,0.07768741696066031,HD 142860,8.017,1.25,8,7
HD 142860_5,0.919018700094665,0.1254133258948795,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203584066197019,0.10198871228437104,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9221883908471525,0.0896473490932797,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9220098592786552,0.14543664334349957,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215336966809091,0.1184624970531933,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9209768956791299,0.17102469082010913,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200916504372502,0.14076362109514887,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216373387188992,0.15521743904188462,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9212190196817808,0.17484109279618107,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9196349475135651,0.10816460371349074,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9228878647744188,0.18712898540515646,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214416680951563,0.10086892779512122,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9208123514905854,0.13277863177721258,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9194507394253006,0.06996101879001543,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9187085396848119,0.12907696450050707,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203834233522373,0.1386239369248237,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195023960497677,0.07858616683575977,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9190480914404274,0.12752235159864067,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203780785818069,0.09277291586050279,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211599072299508,0.15884815399373645,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9194841107415324,0.145529182537834,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198863460481876,0.10101318812980613,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9208935666950182,0.12164377992672366,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216618483804856,0.17627996201359206,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9189532701075451,0.0895838974453879,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203787035912228,0.12903633516894183,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211166102169517,0.17614908525300635,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216700454498533,0.15255062915208364,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195180024348523,0.17380792040085352,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9193934556889901,0.1125770191017349,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9189420790723538,0.08075521034772046,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204371480084145,0.1013102863030274,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9186612670822223,0.08872150740148109,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9208631285103134,0.1587613584969795,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9199514965069621,0.1524117725406846,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200077694095854,0.1415142660560473,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9238189395828846,0.20146860548704648,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9204683938862686,0.12722644702546435,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195058214632755,0.0719107487389269,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203948948107653,0.18368351565973454,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9198040739741438,0.07999562667872342,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216528415122446,0.10103696651013766,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9188403293970757,0.07181538028011733,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9202266793347504,0.14262558963415503,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195430041428764,0.10367690832366037,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214195219312102,0.10803043067778655,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9182294121852901,0.0838950834301337,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9207677025627382,0.13674539324959578,HD 142860,8.017,1.25,8,7
HD 142860_5,0.922401772058889,0.20961830575218238,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210803103474943,0.11422380815650218,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9200147621706409,0.15523098630323628,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921692015857082,0.13823984704630193,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9191245495016005,0.07463382348795364,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215295399742788,0.14604356579053301,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921674720726189,0.1292991294189797,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9175995596483588,0.10650687732843946,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195073410851611,0.07332747018681977,HD 142860,8.017,1.25,8,7
