PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,HZ
HD 209100_2,HD 209100,0.72,0.222,0.989,7.679,1.925,0.073,36,False
HD 209100_4,HD 209100,0.72,0.222,3.542,11.464,2.632,0.022,36,False
HD 209100_5,HD 209100,0.72,0.222,0.635,0.965,0.931,0.076,36,True
HD 209100_6,HD 209100,0.72,0.222,1.701,1.719,0.885,0.082,10,False
HD 209100_8,HD 209100,0.72,0.222,2.097,10.973,2.488,0.099,36,False
HD 209100_9,HD 209100,0.72,0.222,0.782,6.298,2.297,0.071,36,False
HD 210302_4,HD 210302,1.25,2.918,1.629,5.061,1.727,0.122,15,True
HD 212330 A_0,HD 212330 A,1.02,2.726,1.747,9.208,3.281,0.031,24,True
HD 216803_1,HD 216803,0.72,0.196,3.539,5.879,2.035,0.087,21,False
HD 216803_4,HD 216803,0.72,0.196,2.738,12.08,2.631,0.038,35,False
HD 217987_0,HD 217987,0.49,0.036,3.278,17.272,3.1,0.032,35,False
HD 219134_0,HD 219134,0.75,0.266,1.298,11.197,3.021,0.068,36,False
HD 219134_2,HD 219134,0.75,0.266,0.475,2.244,1.279,0.085,15,True
HD 219134_3,HD 219134,0.75,0.266,2.999,4.52,1.913,0.067,21,False
HD 219134_5,HD 219134,0.75,0.266,1.823,4.144,1.09,0.052,26,False
HD 219134_7,HD 219134,0.75,0.266,0.986,3.449,2.277,0.056,36,False
HD 22484_1,HD 22484,1.14,3.068,1.12,7.679,1.996,0.109,20,False
HD 23249_1,HD 23249,0.87,2.941,2.348,3.029,1.487,0.031,3,True
HD 26965 A_1,HD 26965 A,0.86,0.41,0.482,2.403,1.38,0.058,36,False
HD 26965 A_2,HD 26965 A,0.86,0.41,0.345,0.06,0.5,0.049,34,False
HD 30495_0,HD 30495,1.04,0.966,1.934,1.288,0.989,0.08,15,False
HD 30652_2,HD 30652,1.25,2.71,1.418,7.047,1.563,0.081,18,True
HD 30652_3,HD 30652,1.25,2.71,3.27,5.731,2.129,0.133,15,False
HD 30652_4,HD 30652,1.25,2.71,2.754,10.16,2.49,0.119,15,False
HD 32147_2,HD 32147,0.75,0.29,3.272,2.786,1.942,0.062,21,False
HD 33262 A_4,HD 33262 A,1.14,1.466,1.015,9.306,2.255,0.091,16,True
HD 33262 A_6,HD 33262 A,1.14,1.466,0.874,0.257,0.646,0.139,12,False
HD 34411_1,HD 34411,1.08,1.732,1.539,0.713,0.897,0.078,21,True
HD 34411_3,HD 34411,1.08,1.732,1.691,0.808,0.798,0.074,13,True
HD 3651 A_0,HD 3651 A,0.86,0.532,0.818,0.195,1.086,0.09,10,True
HD 37394_11,HD 37394,0.88,0.478,1.171,5.91,2.415,0.065,36,False
HD 37394_16,HD 37394,0.88,0.478,2.623,9.008,2.621,0.055,21,False
HD 37394_3,HD 37394,0.88,0.478,1.245,2.038,1.502,0.044,19,False
HD 37394_9,HD 37394,0.88,0.478,0.863,0.552,0.726,0.077,6,True
HD 39091_5,HD 39091,1.08,1.533,1.437,1.974,1.31,0.051,36,True
HD 43386_1,HD 43386,1.33,2.957,1.141,2.873,1.584,0.101,12,False
HD 4614 A_1,HD 4614 A,1.14,1.252,0.651,0.235,0.728,0.133,20,False
HD 4614 A_2,HD 4614 A,1.14,1.252,2.584,2.842,1.361,0.017,26,False
HD 4628_6,HD 4628,0.78,0.3,1.476,4.324,1.942,0.055,25,False
HD 46588 A_0,HD 46588 A,1.18,1.826,1.961,5.123,1.375,0.092,11,True
HD 46588 A_7,HD 46588 A,1.18,1.826,1.085,5.584,1.256,0.088,1,False
HD 50692_0,HD 50692,1.08,1.293,3.95,10.297,2.831,0.04,30,False
HD 53705_1,HD 53705,1.04,1.49,2.604,16.05,3.306,0.083,36,False
HD 53705_2,HD 53705,1.04,1.49,1.597,13.971,2.478,0.089,18,True
HD 55575_0,HD 55575,1.14,1.463,1.084,0.186,0.727,0.09,6,True
HD 58855_0,HD 58855,1.16,2.445,3.917,11.124,2.746,0.055,36,False
HD 65907 A_1,HD 65907 A,1.11,1.29,1.316,3.131,0.982,0.075,11,True
HD 65907 A_2,HD 65907 A,1.11,1.29,1.009,5.136,1.202,0.058,17,True
HD 693_3,HD 693,1.18,2.997,1.448,3.042,1.975,0.069,24,True
HD 693_4,HD 693,1.18,2.997,1.744,2.348,1.392,0.105,16,True
