PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 210302_1,HD 210302,0.316,0.034,0.672,0.291,18.458,1.25,2.918,,,0.306249,0.007279,2.326479823435873e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.027397
HD 210302_2,HD 210302,0.162,0.125,0.82,0.565,18.458,1.25,2.918,,,0.142052,0.070792,1.4075668709016217e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.027397
HD 210302_3,HD 210302,0.925,0.123,2.909,15.97,18.458,1.25,2.918,,,1.000176,0.016229,1.1852051416210568e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.027397
HD 210302_4,HD 210302,1.629,0.122,1.727,5.061,18.458,1.25,2.918,,,1.440418,0.902798,1.007382435326468e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.027397
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,,,1.455128,0.006319,1.9478893001607413e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.030137
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.760463,96.47025,1.273126,0.684182,3.702747041464908e-10,2.02307095526082,0.0005619641542391167,30.998670869295708,8.668587585131624,0.05581421680257977,1,1,1,1,1,1,1,2035.030137
HD 43386_0,HD 43386,2.541,0.037,0.504,0.177,19.588,1.33,2.957,,,2.632955,0.000594,1.469121677527874e-14,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.032877
HD 43386_1,HD 43386,1.141,0.101,1.584,2.873,19.588,1.33,2.957,,,1.236788,0.141035,1.2796680880160935e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.032877
HD 43386_3,HD 43386,0.289,0.045,1.072,0.429,19.588,1.33,2.957,,,0.28739,0.863971,9.85455544065577e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.032877
HD 19373_0,HD 19373,0.74,0.034,3.212,9.93,10.577,1.08,2.23,0.060711,152.276262,0.738628,0.59568,1.0296619556682117e-08,4.91933071671743,0.0013664807546437305,10.790934318799241,0.8993503346751798,0.004019301799536824,1,1,1,1,1,1,1,2035.035616
HD 19373_2,HD 19373,0.724,0.048,1.483,3.085,10.577,1.08,2.23,0.068786,171.480982,0.694189,0.258385,9.431572488579661e-10,80.2798449798825,0.02229995693885625,1.1028172501698177,0.888520186749636,0.003947100813366532,1,1,1,1,1,1,1,2035.035616
HD 19373_3,HD 19373,0.676,0.061,1.037,1.075,10.577,1.08,2.23,,,0.64393,0.882823,1.8852170007754137e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.035616
HD 19373_6,HD 19373,0.114,0.04,2.433,8.086,10.577,1.08,2.23,,,0.116592,0.865264,2.1594075408103156e-07,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.035616
HD 19373_7,HD 19373,2.87,0.048,1.622,2.945,10.577,1.08,2.23,,,2.98249,0.229034,4.877365650663986e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.035616
HD 16895 A_0,HD 16895 A,3.595,0.047,2.816,7.544,11.15,1.21,2.246,,,3.744134,0.113502,4.7043396335619456e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.038356
HD 16895 A_4,HD 16895 A,4.424,0.091,1.274,1.913,11.15,1.21,2.246,,,4.202529,0.061864,3.2170919621771216e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.038356
HD 16895 A_5,HD 16895 A,1.554,0.05,3.144,9.969,11.15,1.21,2.246,0.094992,95.733005,1.529049,0.047057,1.1907181612287517e-10,966.8203307547556,0.2685612029874321,0.19880682015731965,0.577647699923017,0.001874617567855739,1,1,1,1,1,1,1,2035.038356
HD 16895 A_6,HD 16895 A,0.108,0.029,0.508,0.042,11.15,1.21,2.246,,,0.109469,0.142136,2.647997378089621e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.038356
HD 84737_0,HD 84737,0.596,0.087,1.352,1.551,18.823,1.08,2.795,,,0.624646,0.004942,1.4317002576124991e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.041096
HD 84737_1,HD 84737,3.025,0.071,1.189,1.926,18.823,1.08,2.795,,,2.826395,0.778704,7.472974369718436e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.041096
HD 84737_2,HD 84737,1.078,0.014,1.079,0.698,18.823,1.08,2.795,,,1.071511,0.024516,1.871104151402317e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.041096
HD 84737_3,HD 84737,3.774,0.025,0.833,0.848,18.823,1.08,2.795,,,3.686831,0.290024,1.1250812006951119e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.041096
HD 84737_4,HD 84737,0.254,0.074,3.133,13.741,18.823,1.08,2.795,,,0.235227,0.695311,8.702131655097281e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.041096
HD 84737_5,HD 84737,2.993,0.205,0.508,0.086,18.823,1.08,2.795,,,3.123123,0.379236,6.205332564331719e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.041096
HD 187691 A_0,HD 187691 A,3.127,0.076,1.475,4.454,19.488,1.25,2.835,,,3.053369,0.174714,2.7211533515459882e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.043836
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,,,2.608429,0.03606,4.203676014512143e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.043836
HD 187691 A_2,HD 187691 A,3.249,0.037,0.764,1.364,19.488,1.25,2.835,,,3.367534,0.872771,3.1122799707968537e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.043836
HD 187691 A_3,HD 187691 A,2.018,0.038,2.654,10.557,19.488,1.25,2.835,,,2.086694,0.016744,1.75862163288059e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.043836
HD 43042_0,HD 43042,4.095,0.078,0.558,0.185,21.776,1.29,2.936,,,3.821043,0.197966,3.2924211517394773e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.046575
HD 43042_1,HD 43042,0.434,0.11,0.533,0.05,21.776,1.29,2.936,,,0.400387,0.556194,6.292393708977736e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.046575
HD 43042_3,HD 43042,0.724,0.14,0.733,0.758,21.776,1.29,2.936,,,0.824532,0.902485,5.34238717471208e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.046575
