PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 39091_1,HD 39091,3.12,0.028,1.191,1.952,18.287,1.08,1.533,,,3.042713,0.588073,6.176985939082048e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.392296
HD 39091_2,HD 39091,2.865,0.029,0.677,0.089,18.287,1.08,1.533,,,2.9456,0.97557,3.878719404045313e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.392296
HD 39091_3,HD 39091,3.55,0.072,1.069,0.919,18.287,1.08,1.533,,,3.729109,0.671979,3.83576377748803e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.392296
HD 39091_4,HD 39091,4.534,0.027,1.234,1.811,18.287,1.08,1.533,,,4.656167,0.039914,1.769415843668312e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.392296
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.077418,118.140178,1.365268,0.278884,1.7509350847654358e-10,7440.351076841141,2.066764188011428,0.055898345836208445,0.4139888045340666,0.0007835582652627368,1,1,1,1,1,4,4,2037.392296
HD 39091_6,HD 39091,0.67,0.012,2.604,6.457,18.287,1.08,1.533,,,0.677154,0.147327,1.8729176846531484e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.392296
HD 128621_0,HD 128621,0.181,0.076,0.591,0.281,1.332,0.94,0.503,0.130861,25.978871,0.179071,0.363245,2.820115998575615e-09,0.7782881330964401,0.00021619114808234447,65.5766495139651,2.7266175090439924,0.016201082961995576,1,1,1,1,1,6,6,2037.395035
HD 128621_1,HD 128621,3.969,0.152,0.756,0.624,1.332,0.94,0.503,,,4.542722,0.686213,1.2339709707892802e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.395035
HD 128621_3,HD 128621,4.377,0.084,0.667,0.424,1.332,0.94,0.503,,,4.660369,0.078385,1.2026691230271384e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.395035
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.768464,43.969015,1.118839,0.547004,3.315901183854611e-10,8.178898564422532,0.0022719162678951476,8.020870590539484,2.7154563218704313,0.016126675047505167,1,1,1,1,1,5,6,2037.395035
HD 72905_1,HD 72905,0.661,0.069,0.5,0.051,14.439,1.08,0.973,,,0.706265,0.830799,3.1113567759409805e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,8,2037.400311
HD 72905_3,HD 72905,0.899,0.099,2.776,19.234,14.439,1.08,0.973,,,0.91139,0.585421,3.378666875153189e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,8,2037.400311
HD 72905_4,HD 72905,0.923,0.214,1.407,2.24,14.439,1.08,0.973,,,0.826619,0.055053,1.096357681707328e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,1,8,2037.400311
HD 72905_5,HD 72905,3.175,0.086,0.525,0.068,14.439,1.08,0.973,,,3.442906,0.979664,1.379887923413915e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,8,2037.400311
HD 146233_0,HD 146233,0.356,0.047,2.679,8.19,14.137,1.02,1.094,,,0.357888,0.82609,3.408445325918398e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,8,2037.434979
HD 146233_1,HD 146233,0.206,0.044,2.032,3.376,14.137,1.02,1.094,,,0.214019,0.016113,1.0511044651663152e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,8,2037.434979
HD 146233_4,HD 146233,0.539,0.141,1.433,3.682,14.137,1.02,1.094,,,0.548367,0.290673,1.4868138660088242e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,8,2037.434979
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.103575,203.600862,1.787796,0.304631,1.2418778811637152e-10,5763.556083463249,1.6009878009620135,0.06095555383534363,0.37452307947695934,0.0005204534315486882,1,1,1,1,1,2,5,2037.437719
HD 46588 A_2,HD 46588 A,0.149,0.051,1.651,3.767,18.202,1.18,1.826,,,0.153522,0.292848,2.033168210415536e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.437719
HD 46588 A_4,HD 46588 A,0.634,0.042,1.252,1.899,18.202,1.18,1.826,,,0.607421,0.8647,2.5184836220505648e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.437719
HD 46588 A_5,HD 46588 A,0.119,0.052,0.593,0.101,18.202,1.18,1.826,,,0.112966,0.308868,6.035579403173586e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.437719
HD 46588 A_6,HD 46588 A,0.647,0.045,2.121,5.747,18.202,1.18,1.826,,,0.675545,0.560294,2.744672585855943e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.437719
HD 46588 A_7,HD 46588 A,1.085,0.088,1.256,5.584,18.202,1.18,1.826,,,1.157181,0.015725,1.3304785183891556e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.437719
HD 46588 A_8,HD 46588 A,2.008,0.017,0.521,0.08,18.202,1.18,1.826,,,2.041448,0.076292,3.5237719227146393e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.437719
HD 43386_0,HD 43386,2.541,0.037,0.504,0.177,19.588,1.33,2.957,,,2.489567,0.433694,1.1992009125603016e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.448291
HD 43386_1,HD 43386,1.141,0.101,1.584,2.873,19.588,1.33,2.957,,,1.197538,0.022477,2.1753360379211297e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.448291
HD 43386_3,HD 43386,0.289,0.045,1.072,0.429,19.588,1.33,2.957,,,0.295781,0.583333,6.281414210393201e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.448291
HD 155885_0,HD 155885,0.424,0.016,1.08,0.365,5.948,0.85,0.332,0.071041,102.353246,0.429656,0.295257,1.251872505791308e-09,135.91946615798614,0.03775540726610726,0.6419408605231479,0.5008840368579931,0.001362859814088913,1,1,1,1,1,3,5,2037.454646
HD 155885_1,HD 155885,0.125,0.137,2.355,7.262,5.948,0.85,0.332,,,0.126541,0.840882,1.6532931817451846e-07,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.454646
HD 155885_4,HD 155885,2.293,0.052,0.991,0.685,5.948,0.85,0.332,,,2.173856,0.138737,2.2433040748196552e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,5,2037.454646
HD 165341 B_1,HD 165341 B,1.256,0.089,0.5,0.053,5.122,0.78,0.164,,,1.322382,0.563082,5.1829597468420235e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.464361
HD 165341 B_2,HD 165341 B,4.082,0.042,1.247,0.85,5.122,0.78,0.164,,,4.201315,0.457821,2.896715469881472e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.464361
HD 165341 B_3,HD 165341 B,0.1,0.077,0.528,0.124,5.122,0.78,0.164,,,0.093788,0.368749,9.114344494493641e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.464361
HD 165341 B_4,HD 165341 B,0.76,0.117,1.137,2.374,5.122,0.78,0.164,,,0.794795,0.027844,3.854856352701256e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,3,5,2037.464361
HD 84117_2,HD 84117,0.48,0.183,0.807,0.707,14.951,1.14,1.977,,,0.562112,0.030792,3.982607565786068e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.478691
HD 84117_3,HD 84117,2.469,0.127,0.583,0.157,14.951,1.14,1.977,,,2.694514,0.772558,2.754916931106996e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.478691
HD 84117_5,HD 84117,2.421,0.095,0.605,0.239,14.951,1.14,1.977,,,2.372555,0.127458,5.516484361122171e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.478691
HD 43042_0,HD 43042,4.095,0.078,0.558,0.185,21.776,1.29,2.936,,,4.129681,0.727299,1.0355443821680889e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.487038
HD 43042_1,HD 43042,0.434,0.11,0.533,0.05,21.776,1.29,2.936,,,0.472716,0.012459,1.0111736557253407e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.487038
HD 43042_3,HD 43042,0.724,0.14,0.733,0.758,21.776,1.29,2.936,,,0.624446,0.014176,1.4631461434045134e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.487038
HD 10360_0,HD 10360,0.111,0.132,2.009,6.936,8.189,0.78,0.345,,,0.0964,0.218445,5.592211722804264e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.494511
HD 10360_1,HD 10360,0.559,0.036,0.525,0.063,8.189,0.78,0.345,,,0.575566,0.912931,6.212898942488965e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,1,4,2037.494511
HD 10360_2,HD 10360,3.873,0.13,2.182,7.34,8.189,0.78,0.345,0.192216,200.813765,4.122892,0.930556,1.5835983866638247e-10,4664.376943367753,1.295660262046598,0.06509903181829262,0.3379539181272181,0.00027665902255041315,1,1,1,1,1,3,4,2037.494511
HD 10360_4,HD 10360,0.185,0.028,3.239,14.497,8.189,0.78,0.345,,,0.190105,0.012477,1.8064756185911796e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.494511
HD 10360_5,HD 10360,2.33,0.067,0.679,0.17,8.189,0.78,0.345,,,2.20235,0.050537,2.665939313743058e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.494511
HD 210302_0,HD 210302,0.937,0.087,1.293,2.482,18.458,1.25,2.918,,,0.93012,0.520946,6.646070017936083e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.499346
HD 210302_1,HD 210302,0.316,0.034,0.672,0.291,18.458,1.25,2.918,,,0.326666,0.942397,2.647267153372442e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.499346
HD 210302_2,HD 210302,0.162,0.125,0.82,0.565,18.458,1.25,2.918,,,0.175914,0.430183,5.577350585534796e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.499346
HD 210302_3,HD 210302,0.925,0.123,2.909,15.97,18.458,1.25,2.918,,,1.035869,0.057395,3.907577175454215e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.499346
HD 210302_4,HD 210302,1.629,0.122,1.727,5.061,18.458,1.25,2.918,,,1.694076,0.059139,4.7707541729835864e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.499346
HD 88230_0,HD 88230,1.858,0.024,1.413,3.961,4.871,0.63,0.103,,,1.82095,0.256883,9.032991049750095e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,4,6,2037.502086
HD 88230_1,HD 88230,0.369,0.102,2.613,14.391,4.871,0.63,0.103,,,0.400578,0.044138,1.192165924602982e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,4,6,2037.502086
HD 88230_2,HD 88230,0.941,0.058,0.511,0.079,4.871,0.63,0.103,0.068304,150.606828,0.978393,0.939799,1.6505560621888464e-10,37859.31610050944,10.516476694585954,0.02213842436627695,0.35145047330834805,0.0003666360570912795,1,0,1,1,1,5,6,2037.502086
HD 88230_3,HD 88230,1.397,0.055,1.541,3.057,4.871,0.63,0.103,0.281457,165.952799,1.408254,0.480705,3.518070361345338e-10,3804.2148373928703,1.0567263437202417,0.07062739166999893,0.31657544082394645,0.00013413584052860236,1,1,1,1,1,6,6,2037.502086
HD 88230_4,HD 88230,0.683,0.12,0.831,0.221,4.871,0.63,0.103,,,0.601184,0.900024,1.2818415856914571e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,3,6,2037.502086
HD 88230_5,HD 88230,2.552,0.09,1.594,2.912,4.871,0.63,0.103,,,2.367374,0.102732,2.9564264993237494e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,4,6,2037.502086
HD 88230_6,HD 88230,2.842,0.103,0.661,0.567,4.871,0.63,0.103,,,2.96672,0.429525,1.631936452841666e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.502086
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.064266,204.880566,0.744564,0.316297,5.089077578142005e-10,1864.3061923754676,0.5178628312154077,0.11740712651059027,0.40605480790313386,0.0007306649543898518,1,1,1,1,1,5,6,2037.504825
HD 3651 A_3,HD 3651 A,0.106,0.12,3.284,8.237,11.108,0.86,0.532,,,0.118705,0.165383,5.922901568407633e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.504825
HD 3651 A_5,HD 3651 A,0.552,0.025,0.534,0.148,11.108,0.86,0.532,,,0.545218,0.036857,2.8727206532815674e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.504825
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,,,2.288712,0.203446,1.6574207326197297e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.507565
HD 23249_1,HD 23249,2.348,0.031,1.487,3.029,9.089,0.87,2.941,0.07702,118.700682,2.419429,0.961839,2.6226090408042624e-10,234.20459718685393,0.06505683255190386,0.6013810813508389,1.1201735375705622,0.005491456485506042,1,1,1,1,1,2,4,2037.507565
HD 90839_0,HD 90839,3.665,0.022,0.781,0.186,12.945,1.18,1.605,,,3.74563,0.431525,1.4903384911924197e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,7,2037.515997
HD 90839_1,HD 90839,0.191,0.094,1.403,2.751,12.945,1.18,1.605,,,0.208842,0.239735,6.495175040208519e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,7,2037.515997
HD 90839_2,HD 90839,3.378,0.112,1.125,1.619,12.945,1.18,1.605,,,3.655901,0.048673,3.2934782433053692e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,7,2037.515997
HD 90839_5,HD 90839,0.15,0.051,2.273,4.226,12.945,1.18,1.605,,,0.154108,0.098659,1.1015990439830505e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,7,2037.515997
HD 147513_0,HD 147513,1.541,0.04,0.645,0.152,12.892,1.07,1.001,,,1.535057,0.605811,7.216094781156405e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.520881
HD 147513_1,HD 147513,1.513,0.099,0.537,0.038,12.892,1.07,1.001,,,1.504461,0.335535,3.093499724407269e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.520881
HD 147513_2,HD 147513,4.633,0.075,1.379,7.403,12.892,1.07,1.001,,,4.50204,0.681435,3.872867507049532e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.520881
HD 147513_4,HD 147513,0.196,0.111,0.74,0.096,12.892,1.07,1.001,,,0.193328,0.005837,6.669834656864866e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.520881
HD 147513_5,HD 147513,4.52,0.075,0.624,0.254,12.892,1.07,1.001,,,4.197813,0.013141,1.5746690420445123e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.520881
HD 147513_6,HD 147513,1.743,0.075,1.796,2.912,12.892,1.07,1.001,0.121069,123.58119,1.633899,0.530504,4.39435627342219e-10,492.16574838257833,0.13671270788404954,0.24535427087814757,0.3592074943920437,0.00041834953098258385,1,1,1,1,1,3,4,2037.520881
HD 147513_7,HD 147513,2.47,0.028,0.667,0.174,12.892,1.07,1.001,,,2.528294,0.00689,2.3046647685407497e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.520881
HD 115617_0,HD 115617,1.956,0.004,0.732,1.017,8.534,0.97,0.825,,,1.963813,0.387821,3.5083261423834736e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.528067
HD 115617_1,HD 115617,0.76,0.09,2.931,6.157,8.534,0.97,0.825,0.085648,65.986865,0.711992,0.321736,2.9665633994544537e-09,23.61276183339438,0.006559100509276217,2.5057345259395434,0.5198779433676989,0.0014894858574869515,1,1,1,1,1,5,5,2037.528067
HD 115617_2,HD 115617,0.621,0.047,0.562,0.059,8.534,0.97,0.825,,,0.638542,0.210743,9.444752522869138e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,1,5,2037.528067
HD 115617_3,HD 115617,0.199,0.073,3.38,12.207,8.534,0.97,0.825,,,0.211124,0.67493,1.0761242808545577e-07,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.528067
HD 115617_4,HD 115617,2.599,0.104,0.763,0.174,8.534,0.97,0.825,,,2.352608,0.057096,4.1389884397705415e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.528067
HD 115617_5,HD 115617,2.098,0.045,1.487,3.177,8.534,0.97,0.825,0.246957,137.11645,2.127382,0.404244,1.619068010935439e-10,947.1898149835436,0.26310828193987323,0.1727290391757364,0.40351724765810054,0.0007137478860896293,1,1,1,1,1,3,5,2037.528067
HD 115617_6,HD 115617,3.003,0.084,0.942,0.936,8.534,0.97,0.825,,,3.029774,0.741696,4.8893071191891065e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.528067
HD 185144_1,HD 185144,0.747,0.07,0.5,0.019,5.764,0.87,0.434,,,0.769257,0.916039,2.210925543711394e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,1,7,2037.539553
HD 185144_3,HD 185144,0.688,0.135,2.317,4.389,5.764,0.87,0.434,0.110006,269.54738,0.644183,0.418268,3.287647841656826e-09,16.083188814750972,0.004467552448541937,3.4242780966688042,0.4244108774392342,0.0008530387512971872,1,1,1,1,1,7,7,2037.539553
HD 190360_0,HD 190360,0.922,0.17,1.79,3.759,16.003,0.96,1.165,,,1.029886,0.091788,1.8154076874131203e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,1,6,2037.543483
HD 190360_1,HD 190360,3.764,0.081,1.071,1.582,16.003,0.96,1.165,,,4.068073,0.204083,1.049261614514832e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.543483
HD 190360_3,HD 190360,3.632,0.139,2.733,10.267,16.003,0.96,1.165,0.153378,275.789572,3.870413,0.795644,3.424859050636245e-10,1173.5109278924526,0.32597525774790354,0.1416323271166135,0.33868884735633226,0.00028155855074450757,1,1,1,1,1,3,6,2037.543483
HD 190360_4,HD 190360,1.735,0.021,0.534,0.045,16.003,0.96,1.165,,,1.771435,0.20613,8.96871422111103e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.543483
HD 190360_5,HD 190360,0.581,0.08,1.934,2.88,16.003,0.96,1.165,,,0.588187,0.790786,7.1946666888423945e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.543483
HD 143761_0,HD 143761,2.268,0.052,0.622,0.131,17.511,0.97,1.812,,,2.358632,0.608145,3.513054824900144e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.546786
HD 143761_3,HD 143761,0.463,0.017,0.834,0.619,17.511,0.97,1.812,,,0.463564,0.381481,7.076616557522038e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.546786
HD 143761_4,HD 143761,1.096,0.157,0.808,0.895,17.511,0.97,1.812,,,1.109886,0.845434,2.6329496107480617e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.546786
HD 143761_5,HD 143761,0.834,0.096,1.155,1.684,17.511,0.97,1.812,,,0.889609,0.079664,8.816284805345511e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,6,2037.546786
HD 143761_7,HD 143761,2.609,0.089,2.154,12.289,17.511,0.97,1.812,0.142001,1.689371,2.596806,0.535219,2.2240274342778086e-10,1539.2355607514662,0.42756543354207394,0.12331094391282382,0.3541143363501372,0.0003843951440365407,1,1,1,1,1,1,6,2037.546786
HD 141004_0,HD 141004,2.629,0.092,2.901,8.518,11.916,1.09,2.004,0.215857,332.826942,2.865201,0.574172,3.992556742381163e-10,153.45546192601617,0.04262651720167116,0.5668464881409796,0.4392905432596878,0.0009522365234335445,1,1,1,1,1,2,4,2037.551231
HD 141004_1,HD 141004,0.651,0.071,0.654,0.168,11.916,1.09,2.004,,,0.647625,0.177938,1.155142357554593e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.551231
HD 141004_2,HD 141004,4.426,0.098,1.019,2.941,11.916,1.09,2.004,,,4.157564,0.018803,8.542353785560347e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.551231
HD 141004_3,HD 141004,4.115,0.06,0.578,0.125,11.916,1.09,2.004,,,3.873372,0.74591,8.88664708766303e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.551231
HD 141004_4,HD 141004,3.163,0.091,1.732,4.206,11.916,1.09,2.004,,,3.020973,0.194776,3.889865071294329e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.551231
HD 17925_0,HD 17925,1.472,0.037,0.676,0.068,10.361,0.82,0.401,,,1.498014,0.154851,2.1046279297548242e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.56259
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,,,0.769139,0.97506,1.044167006140763e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,2,5,2037.56259
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,,,0.609092,0.719633,1.6599300193933498e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.56259
HD 17925_4,HD 17925,0.848,0.062,1.424,1.901,10.361,0.82,0.401,,,0.813073,0.003602,7.094412065726715e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,3,5,2037.56259
HD 17925_6,HD 17925,3.618,0.076,0.719,0.216,10.361,0.82,0.401,,,3.873912,0.050361,1.0917842800099172e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.56259
HD 30652_0,HD 30652,0.357,0.032,0.524,0.119,8.068,1.25,2.71,,,0.347245,0.647406,1.0962310803405599e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.57395
HD 30652_1,HD 30652,3.379,0.099,2.314,9.159,8.068,1.25,2.71,0.433886,351.477049,3.520887,0.374158,1.286749225425009e-10,195.8257059447795,0.05439602942910541,0.5746073439654561,0.7431757821524085,0.002978138116051683,1,1,1,1,1,1,4,2037.57395
HD 30652_2,HD 30652,1.418,0.081,1.563,7.047,8.068,1.25,2.71,0.162047,338.50843,1.522212,0.596943,5.387592309357774e-10,27.22148743881593,0.007561524288559981,2.3657111555634507,0.743179742312377,0.0029781645171181393,1,1,1,1,1,2,4,2037.57395
HD 30652_3,HD 30652,3.27,0.133,2.129,5.731,8.068,1.25,2.71,0.377985,49.83101,3.352663,0.554552,1.6750029056868632e-10,130.7520077913705,0.03632000216426958,0.7477828184206026,0.7431757821524085,0.002978138116051683,1,1,1,1,1,2,4,2037.57395
HD 30652_4,HD 30652,2.754,0.119,2.49,10.16,8.068,1.25,2.71,0.309015,213.890967,2.494453,0.322332,1.5727786531533443e-10,143.94720060625215,0.03998533350173671,0.7015976055085121,0.7431757821524085,0.002978138116051683,1,1,1,1,1,2,4,2037.57395
HD 160691_0,HD 160691,1.46,0.051,0.67,0.675,15.604,1.0,1.899,,,1.385549,0.179629,2.0720601690823328e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.579169
HD 160691_1,HD 160691,0.274,0.085,0.88,0.645,15.604,1.0,1.899,,,0.295486,0.086867,5.687107905065957e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.579169
HD 160691_2,HD 160691,0.346,0.144,0.58,0.053,15.604,1.0,1.899,,,0.329064,0.059844,1.3285135134988556e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.579169
HD 160691_3,HD 160691,0.123,0.058,0.556,0.091,15.604,1.0,1.899,,,0.120403,0.122201,1.6493967867937111e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.579169
HD 160691_4,HD 160691,2.415,0.073,1.777,2.687,15.604,1.0,1.899,0.074981,255.453356,2.589704,0.916283,2.84811622800836e-10,1682.7782039961294,0.46743838999892484,0.1372514090418114,0.5063929191915422,0.0013995856963125739,1,1,1,1,1,2,4,2037.579169
HD 160691_6,HD 160691,2.937,0.058,2.424,6.338,15.604,1.0,1.899,0.099212,7.811966,2.800242,0.853991,3.528199329714542e-10,570.9634034957155,0.15860094541547654,0.23280584542796878,0.3984687484783008,0.0006800912248909648,1,1,1,1,1,3,4,2037.579169
HD 160691_7,HD 160691,3.23,0.098,2.375,5.354,15.604,1.0,1.899,0.217245,5.84358,3.531897,0.472465,1.414248847437949e-10,2111.78603476585,0.5866072318794029,0.10520495898636933,0.37127823306439306,0.0004988211221315797,1,1,1,1,1,1,4,2037.579169
HD 55575_0,HD 55575,1.084,0.09,0.727,0.186,16.852,1.14,1.463,,,1.181292,0.7151,1.6996094757750606e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,1,5,2037.581909
HD 55575_1,HD 55575,0.133,0.053,0.578,0.677,16.852,1.14,1.463,,,0.14,0.167212,2.0779908125724307e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.581909
HD 20630_1,HD 20630,0.648,0.142,1.547,4.726,9.276,0.98,0.857,0.072126,232.311969,0.725514,0.463258,1.4286806434574287e-09,77.42754900206165,0.021507652500572683,0.9816690549597515,0.5408789515786242,0.0016294925788931203,1,1,1,1,1,3,5,2037.584649
HD 20630_5,HD 20630,1.387,0.083,0.621,0.63,9.276,0.98,0.857,,,1.500152,0.409176,4.2346615826823056e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.584649
HD 166_0,HD 166,1.592,0.09,1.08,2.182,13.766,0.94,0.647,,,1.546664,0.08899,3.0140416203067244e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,2,4,2037.602137
HD 166_1,HD 166,0.635,0.021,0.515,0.062,13.766,0.94,0.647,,,0.644285,0.008283,3.3786374849095607e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,4,2037.602137
HD 84737_0,HD 84737,0.596,0.087,1.352,1.551,18.823,1.08,2.795,,,0.647167,0.213104,5.751980823854369e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.612036
HD 84737_1,HD 84737,3.025,0.071,1.189,1.926,18.823,1.08,2.795,,,3.230561,0.068005,4.99541654246185e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.612036
HD 84737_2,HD 84737,1.078,0.014,1.079,0.698,18.823,1.08,2.795,,,1.074434,0.892886,6.777651529758617e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.612036
HD 84737_3,HD 84737,3.774,0.025,0.833,0.848,18.823,1.08,2.795,,,3.858649,0.060173,2.1310329734267656e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.612036
HD 84737_4,HD 84737,0.254,0.074,3.133,13.741,18.823,1.08,2.795,,,0.239752,0.452559,5.4522163282842233e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.612036
HD 84737_5,HD 84737,2.993,0.205,0.508,0.086,18.823,1.08,2.795,,,3.04814,0.462769,7.949290029049524e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,5,2037.612036
