PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC,DetStatus,NDet,NObs,LastObs
HD 10361_4,HD 10361,4.037,0.084,0.501,0.163,8.197,0.77,0.304,0.441,353.483,3.896,0.527,4.575157076949698e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.015
HD 101501_3,HD 101501,0.112,0.069,1.262,1.452,9.576,0.94,0.609,0.007,2.122,0.115,0.026,1.3763432757693214e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.016
HD 101501_7,HD 101501,0.888,0.054,0.887,1.019,9.576,0.94,0.609,0.016,342.76,0.926,0.0,2.991925463691673e-13,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.016
HD 4391_0,HD 4391,0.363,0.182,1.471,2.308,15.049,0.98,0.923,0.016,103.605,0.363,0.039,9.593164398697979e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.018
HD 4391_1,HD 4391,1.544,0.114,0.614,0.21,15.049,0.98,0.923,0.05,44.304,1.627,0.898,5.7447097126365394e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.018
HD 4391_2,HD 4391,0.361,0.058,0.863,1.273,15.049,0.98,0.923,0.016,299.785,0.342,0.051,1.7267147741994112e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.018
HD 4391_3,HD 4391,0.102,0.064,0.942,1.195,15.049,0.98,0.923,0.006,284.814,0.1,0.461,2.6319901491903027e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.018
HD 4391_4,HD 4391,0.526,0.038,2.712,4.443,15.049,0.98,0.923,0.026,172.653,0.546,0.758,6.3787401687448485e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.018
HD 95735_0,HD 95735,0.673,0.041,0.901,0.817,2.546,0.44,0.02,0.201,68.506,0.664,0.703,5.293524902461158e-10,7714.919193642694,2.143033109345193,0.047378043629732074,0.30547567865219233,0.00027061841722608585,1,1,1,1,1,2035.019
HD 95735_2,HD 95735,0.392,0.078,0.638,0.071,2.546,0.44,0.02,0.105,80.631,0.4,0.039,6.601328386972158e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.019
HD 95735_3,HD 95735,0.164,0.146,0.847,0.43,2.546,0.44,0.02,0.055,59.549,0.149,0.498,1.0542309525669149e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.019
HD 95735_4,HD 95735,2.481,0.023,1.454,2.418,2.546,0.44,0.02,0.63,314.004,2.512,0.803,1.4569013416244183e-10,92325.92342440835,25.64608984011343,0.013141060460551777,0.3054756786342448,0.0002706184166876608,1,0,0,0,1,2035.019
HD 95735_6,HD 95735,0.163,0.047,1.008,0.827,2.546,0.44,0.02,0.061,286.124,0.161,0.203,4.530208648642264e-09,649.7413627600605,0.18048371187779458,0.21356644795732632,0.3864913130223408,0.0027010874483305407,1,1,1,1,1,2035.019
HD 201092_1,HD 201092,2.708,0.059,2.37,6.91,3.496,0.63,0.078,0.721,345.578,2.598,0.447,2.216576878742479e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.021
HD 217987_0,HD 217987,3.278,0.032,3.1,11.412,3.287,0.49,0.036,0.956,161.896,3.257,0.198,1.4179332309745368e-10,82916.85286985741,23.032459130515946,0.013908655323193516,0.30626432131490483,0.00029427769710746145,1,0,0,0,1,2035.022
HD 217987_1,HD 217987,0.104,0.158,2.049,5.502,3.287,0.49,0.036,0.025,58.282,0.105,0.076,1.2782337896467585e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.022
HD 165341 B_1,HD 165341 B,1.256,0.089,0.5,0.038,5.122,0.78,0.164,0.204,2.274,1.185,0.118,8.306523372780765e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.023
HD 165341 B_2,HD 165341 B,4.082,0.042,1.247,2.163,5.122,0.78,0.164,0.461,36.158,4.204,0.022,4.255443689446343e-13,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.023
